timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1706734831893,223,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,8,8,223,0,72
1706734831924,225,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,8,8,225,0,74
1706734831940,222,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,8,8,222,0,70
1706734831948,232,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,8,8,232,0,74
1706734831962,230,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,8,8,230,0,76
1706734831999,228,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,8,8,228,0,73
1706734832020,229,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,8,8,229,0,72
1706734832045,225,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1288,8,8,225,0,71
1706734832117,231,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,8,8,231,0,71
1706734832149,220,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,8,8,220,0,64
1706734832163,227,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,8,8,227,0,73
1706734832181,226,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,8,8,226,0,70
1706734832193,219,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,8,8,219,0,68
1706734832227,239,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,8,8,239,0,77
1706734832250,219,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1288,8,8,219,0,66
1706734832271,225,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,8,8,225,0,71
1706734832349,230,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,9,9,230,0,72
1706734832369,248,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,9,9,248,0,95
1706734832392,231,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,9,9,231,0,77
1706734832413,218,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,9,9,218,0,66
1706734832408,231,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,9,9,231,0,68
1706734832470,232,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,9,9,232,0,74
1706734832467,235,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,9,9,235,0,80
1706734832497,223,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,9,9,223,0,72
1706734832502,235,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,9,9,235,0,80
1706734832580,220,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,9,9,220,0,64
1706734832623,226,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,9,9,226,0,66
1706734832618,236,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,9,9,236,0,74
1706734832632,225,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,9,9,225,0,69
1706734832639,220,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,9,9,220,0,67
1706734832703,218,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,9,9,218,0,68
1706734832703,229,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,9,9,229,0,71
1706734832721,223,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,9,9,223,0,66
1706734832738,222,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,9,9,222,0,65
1706734832801,260,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,260,0,74
1706734832858,219,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,219,0,65
1706734832851,226,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,226,0,70
1706734832859,225,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,225,0,71
1706734832855,231,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,231,0,75
1706734832932,234,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,234,0,77
1706734832945,224,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,224,0,71
1706734832960,221,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,221,0,70
1706734833000,233,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1288,10,10,233,0,77
1706734833061,229,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,229,0,71
1706734833077,226,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,226,0,73
1706734833077,230,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,230,0,74
1706734833085,222,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,222,0,70
1706734832921,386,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,386,0,234
1706734833086,224,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,224,0,73
1706734833166,242,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,242,0,69
1706734833170,238,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,238,0,76
1706734833182,231,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,231,0,68
1706734833233,236,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,236,0,75
1706734833290,275,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,275,0,114
1706734833308,257,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,257,0,104
1706734833308,257,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,257,0,104
1706734833304,263,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,263,0,108
1706734833308,263,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,263,0,107
1706734833311,261,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1289,10,10,261,0,104
1706734833414,221,Detect Request,200,OK,Middleware notificacao 1-2,text,true,,239,1289,10,10,221,0,65
1706734833408,231,Detect Request,200,OK,Middleware notificacao 1-8,text,true,,239,1289,10,10,231,0,77
1706734833408,231,Detect Request,200,OK,Middleware notificacao 1-7,text,true,,239,1289,10,10,231,0,76
1706734833469,251,Detect Request,200,OK,Middleware notificacao 1-1,text,true,,239,1289,10,10,251,0,99
1706734833572,232,Detect Request,200,OK,Middleware notificacao 1-10,text,true,,239,1289,10,10,232,0,78
1706734833566,240,Detect Request,200,OK,Middleware notificacao 1-3,text,true,,239,1289,10,10,240,0,84
1706734833566,242,Detect Request,200,OK,Middleware notificacao 1-9,text,true,,239,1289,10,10,242,0,87
1706734833572,237,Detect Request,200,OK,Middleware notificacao 1-6,text,true,,239,1288,10,10,237,0,86
1706734833567,242,Detect Request,200,OK,Middleware notificacao 1-4,text,true,,239,1289,10,10,242,0,88
1706734833566,250,Detect Request,200,OK,Middleware notificacao 1-5,text,true,,239,1289,10,10,250,0,95
